GeneName,sampleA,sampleB,sampleC,sampleD,sampleE,sampleF,sampleG,sampleH
Lrrc10,6.1593548439,6.1038772787,6.1147282864,6.2110639412,6.14820265,6.816285803,6.242958256,6.106689223
Rnf17,5.9270441626,5.9895185515,6.1583716968,5.9835424177,6.3713298336,6.208378309,6.0349724918,6.1079869089
6330531I01Rik,6.6738840297,7.1187060641,6.8997196573,6.9874548181,6.8608834114,6.6987768106,6.7087234202,6.7712237312
Gm13582,6.2818819732,6.3039188518,6.4453229756,6.444153346,6.1812147911,6.329645712,6.4512028453,6.3294836425
Slc25a44,7.6385761273,7.9395233594,8.3287111229,7.8906888735,7.9552420449,8.4445251106,7.8645135792,8.2144661894
Zc3h12c,6.2270036314,6.2277472885,6.2576290711,6.2717570081,6.2801249497,6.3605440819,6.1770199222,6.1699987059
Csnka2ip,6.1386338801,6.1145311204,6.1438343919,6.076169846,6.1639053606,6.251938965,6.1521838767,5.9831721368
DV659224,6.9499417732,7.2362230426,7.075507505,7.3606325572,7.1696865408,7.0177063327,7.1795623319,7.2552459625
Rdh11,11.2815915265,11.1560596573,12.0395434782,11.2547867492,11.885719328,11.7506918215,11.7713690651,11.2270673071
Rmi2,7.8229688666,7.7966729155,7.3850925106,7.7804001701,7.685015173,7.5613254276,7.7751374847,7.5629033529
Ehbp1l1,12.4855815568,12.7069373557,12.8772547654,11.930515007,12.3526357614,12.8037227551,12.5049507662,12.094529228
Plekhh1,6.405806607,6.2885718479,6.0859971878,6.2631202974,6.170234763,6.2163982314,6.2701033286,6.0821738585
AI256396,6.19969087,5.9029871903,6.1141704273,6.1035251277,6.1355735112,6.1264278469,6.0232850343,6.1195342625
Olfr1428,6.1286816868,6.136914718,6.0869573121,6.2247707192,6.1234196176,6.0959904099,6.3425782441,6.2324252547
Mapre1,13.7779224054,13.4601753106,14.2574181497,13.8598866229,13.9616059731,14.4428275905,14.1184465129,14.4851575345
Kcnq3,6.1810438786,6.1156965669,6.1876213948,6.1248791325,6.1130661063,6.1216555046,6.1162213137,6.2219610476
Reg2,6.0072574589,5.9458502368,6.1339390937,5.9901936058,6.2321111604,6.1651111766,6.0238066528,6.04403574
Gm4872,6.2670520401,6.1012309182,6.1616165208,6.2580029033,6.1739507145,6.127431505,6.2481206546,6.2025204305
Stk26,10.4774966708,11.0321361451,10.2438509662,10.8741608368,10.451598441,10.3737865283,9.5643558996,10.2263941496
Gm4907,14.4808040758,14.0003608772,13.1591320881,13.5737869963,12.9993017537,13.1507907955,13.7042751917,12.8652054707
Rtca,11.1614129975,11.2128861755,12.0228016753,11.2476356934,11.4974554457,12.1453115751,11.5207797387,11.7738101419
Lyrm5,7.5076959319,7.5405832091,6.9745779499,7.485992807,7.1233481708,6.8881833262,6.914277219,7.1757410056
Thoc6,12.6142825744,12.2568766614,12.1196606926,11.9896859591,12.1242236749,12.0390447359,12.3805325117,11.9293124336
Nsun5,11.3085763594,11.3399449372,11.9457677916,11.2997588431,10.9733880579,11.8321899744,11.4685081864,11.1667578903
Gm4312,6.9067818184,6.8939028662,6.9856202918,6.9420605239,6.7744679305,7.0228940459,7.140502086,7.1488153052
6330412A17Rik,6.3756961634,6.2242652284,6.1055383534,6.2736942351,5.9342691327,6.3926211638,6.6418240561,6.4912463692
1700109K24Rik,6.067878852,6.1941353407,6.0952769522,6.1085494069,6.1722298859,6.0199962513,6.1242109888,6.0437703636
Ankrd13d,7.818547006,7.5566837051,7.87198152,8.0034673795,7.831829448,8.0041179841,7.865875632,8.1755742828
Gm15446,8.5554971578,9.1696032749,8.5379022284,8.5133538457,8.5493190632,8.4765958149,8.2161583564,8.6082777096
3110015C05Rik,6.5266338567,6.2127091782,6.311376165,6.978563505,6.9904866793,6.7230651037,6.418500044,6.1422167854
Plekho2,12.451302975,12.6370679791,12.7678493634,12.9838852987,13.7318523467,12.9166597842,12.276646211,13.2382668604
Hoxa11,6.5417326765,6.3244914988,6.1859789482,6.1908384323,6.0784546452,6.3763401804,6.047338536,6.1890978046
4833428L15Rik,6.1056997316,6.045591981,6.130801317,6.0303161368,6.2027503467,6.0439169103,6.0818613481,6.1445361203
Mx1,6.4730477076,6.7122779222,7.0105075884,6.9720042534,7.2421540649,6.8290636869,6.3329619196,6.7441973534
Robo4,6.3554933061,6.1268866705,6.1938520936,6.1011437875,6.4767050159,6.3638589524,6.3402727136,6.2591069373
4933422A05Rik,6.6531051089,7.4659971024,7.1365294807,6.7042687267,7.1352105809,6.950011795,6.7380513379,6.8700140609
Dclre1c,6.90090864,7.0612456315,7.6003175797,7.4471181612,7.5409169945,7.5404180967,7.1796808918,7.3031806642
Slc30a8,6.5183967174,6.5865219019,6.2785037476,6.4106529113,6.8528460128,6.3244115658,6.5042623794,6.4307668728
Klhl33,6.1757215256,6.3256342536,6.3003016013,6.2078837332,6.2320772883,6.1078997938,6.2182945447,6.2965591744
Slfn8,7.9337712681,7.8902321069,7.7711881304,8.1877633794,7.9962102737,7.7679919312,7.6986519524,7.10439038
Gm4971,13.6975626053,13.9151051164,13.8355765367,14.0481044088,13.9280532819,13.7618577166,13.9745049258,14.2425082851
Mcmbp,11.7960801664,11.8705757742,12.1627293993,11.5517448925,11.490040433,12.0886894846,11.8310431979,11.9484486153
Adra2a,7.0464795464,7.2725954216,6.4883411249,6.7123100142,6.843977425,6.7182040734,7.2148356785,6.2744567416
Rag1,6.140352017,6.1705035063,6.0637497634,6.0964113543,6.1351711897,6.1295287717,6.2824037302,6.1130875336
Nkx3-2,7.0222841097,6.6071143116,6.8917617392,6.8186696784,6.6531051089,6.6188699315,6.8006848192,6.8274427596
LOC102638985,6.2956231287,6.3130610444,6.2625161141,6.314020141,6.2515494764,6.2396841102,6.1247972664,6.3976821398
A030007N12Rik,8.7864037351,9.1298210425,9.5692160675,8.5019664739,8.6000083462,9.2285590043,8.8960823616,8.9643643507
Bzw1,11.0443500507,11.1611320436,11.811902702,11.3132347882,10.9536765776,11.7947250116,11.3663222027,10.8423375462
BQ939345,8.5121778121,8.2181648569,8.0354097352,8.0792675505,7.6545165991,7.8002118549,8.3339872748,8.1539023876
3110068a07rik,6.7427866394,6.906252194,6.5105069038,6.493805525,6.4588642444,6.4670064928,6.2805917511,6.768656706
Endod1,10.2858824394,10.2761795421,9.2440930796,11.0054519213,12.0574897517,9.9147892427,9.6550210952,10.7378215335
AK142367,7.9704874567,8.1375150099,7.5716883613,7.3848814103,7.3650291916,7.2762384767,7.4979863359,7.6900707656
BY448169,6.6251439739,6.6650162688,6.5578197805,6.6478116812,6.8032227441,6.6247199603,6.8061023801,6.727232268
Ercc1,10.8292562058,10.681505761,10.9579372524,11.3550941631,11.0584079533,10.8637237526,10.8633022435,10.7604350954
Gm36007,6.1221234021,6.440301698,6.1228661016,6.0691112008,5.9102211728,6.3633544864,6.164523015,6.1850537856
AK019493,6.1511734249,6.1098949124,6.1119348199,6.1680504697,6.105640679,6.0443849848,6.210003426,6.0931780164
Tbcel,11.2794174059,11.2140254997,10.7776140028,11.5995746102,11.581396547,10.8373963214,11.0857345088,10.9660746549
Gm14488,7.8808360841,8.1917576737,8.1546620781,8.0289274176,8.11977506,7.9927406695,8.2946117863,8.355565164
D830013O20Rik,6.2822508114,6.197608393,6.1199596846,6.20999756,6.1040338981,6.1304923272,6.4066753112,6.1687751563
6430548M08Rik,6.3077719861,6.2308607721,6.6387040431,6.8027981225,6.2056259365,6.3672338423,6.3587723956,6.3383857605
Nop14,10.713373079,10.6350374901,11.2534821825,10.7598577771,10.6619044523,11.155359879,10.8492641706,10.6210081046
Gm17359,6.0020447056,6.0485741754,6.2402591015,6.1730418806,6.0970661572,6.3493331207,6.0691868687,6.0800662077
Avp,6.2215753858,6.4011142775,6.3599018035,6.3630585593,6.3656033801,6.5180194282,6.3594381486,6.3578872189
Cwf19l2,7.9197120967,7.5685851948,7.3893538986,7.3746749741,7.2928918538,7.2166522858,7.7397090965,7.6622277551
Bco1,6.0683036052,6.0977813329,6.0125325607,6.0676519045,6.0513605387,5.9852881633,5.9090866054,6.0363648973
Xkr6,6.115933927,6.0366345491,6.0827165255,6.0530107012,6.1561939832,6.1957929827,6.0703437806,6.1395978532
AK042967,7.6699571447,8.3109217432,7.9020855418,7.7194019269,7.851149514,7.6506738431,8.0426722263,7.9092477172
Vwa5a,6.7075285581,6.6697103111,6.7275485737,6.9687259099,6.9476720007,6.6033489744,6.5686919301,6.6398260478
1700044K03Rik,6.1110178977,6.1174809172,6.2244589135,6.14167464,6.0606308929,6.0913300199,5.9681398322,6.0561984613
4933427J07Rik,6.2536975502,6.3314288471,6.9017840073,6.2518985016,6.4395945848,6.4595827216,6.4089715542,6.4722213824
Slc4a2,11.5133688875,11.190359899,11.2082214148,11.987580425,11.6586585311,11.3009319326,11.5520715918,11.0772815363
Gm13490,6.0927447534,6.0829556581,6.058290651,6.1452489137,6.0319875326,6.2092911003,6.1892961793,6.1400563806
Ptbp2,7.1125316387,6.8434822063,6.7481337981,6.8287202921,6.848907947,6.8340348381,6.8967262968,6.8727976025
Ccnt2,10.7349166294,10.487599824,10.4969689922,10.4116672633,10.4206156162,10.4351266655,10.6595534531,10.7933001808
Gm7073,6.1208370338,6.1384929641,6.109061268,6.0477747253,6.0298231764,5.9018425332,6.0104128653,6.0325907838
Gnpat,10.4816158453,10.0862191404,11.1293993519,10.5320831601,10.3717579233,10.9039572047,11.0035174782,10.5898425066
AI561439,10.91368426,10.7969563355,10.8371061646,10.7925214755,10.4746457622,10.7050669092,10.7154960958,10.967832883
Adgrg5,8.1810447944,7.7739688703,7.3172580605,7.3896775149,7.4261740335,7.3919865225,9.5133451777,11.149096699
BX529914,6.4698366902,6.520248417,6.6455367215,6.449287706,6.4188515001,6.4651720927,6.4388552168,6.7829025086
Gm12863,6.1172597383,6.1868836688,6.2301125184,6.1221123549,6.051977448,6.3408937494,6.2860063285,6.0635536023
Kcnj8,6.5617820441,6.3143725423,6.3030927194,6.2949432823,6.2648990729,6.2850253819,6.2079001149,7.2999684252
Prim1,13.3883600377,13.4452662419,14.1046520411,13.6228385644,13.5968405939,14.1827775855,13.7762234415,13.9331854921
Dph6,6.2059745274,6.2472431603,6.1320402207,6.1497474318,6.0624530633,6.1156439229,6.3121397894,6.1951143713
AK052921,6.1737734395,6.2553807164,6.182222878,6.0909047052,6.2901111815,6.2084942488,6.1617367703,6.2176676705
Homer2,6.1808241414,6.3511260581,5.9910290711,6.1808376531,6.3871922778,6.5920475755,6.1112904324,6.1280982087
Tm2d3,10.6141112016,10.7272364732,10.7678251671,10.4060582929,10.7886048249,10.8340611587,10.6663446388,10.1984504437
Gm17182,6.1731313176,6.071321629,6.1440270189,6.2010862717,6.1600121092,6.1328328834,6.1507463779,6.1279172355
AU044994,9.1801591445,9.0004125978,9.2128714799,8.9740527102,8.9600221592,9.0711644899,9.2068070331,9.0599973047
LOC102634835,5.9985071566,6.0796246003,6.2289485657,6.0281026968,6.1032446583,6.211806768,5.9607509375,5.9879033367
AK139043,7.3552297322,8.1281829261,7.9920134336,7.3839452622,7.5188208373,7.8043149205,8.3126935207,7.2442370591
Noto,6.086084117,6.1719141022,6.1838535608,6.2543027985,6.1475430342,6.1660609926,6.1063275205,6.0752023783
Eml2,13.2732591539,13.3905164771,13.6219728656,13.1275148737,13.5021013597,13.6144218256,13.3528212766,13.1423228004
NAP114238-1,15.314901121,15.1302969644,15.1037690207,15.4490151387,15.3185376587,14.962117199,14.8896952663,15.5867131997
Dennd1a,10.0511322635,9.7096495212,9.3935329789,10.1156756118,9.7546146752,9.7469064555,10.2526786928,10.2278777178
Cyp26b1,6.6452210506,6.8902137032,6.4726950802,6.5334221003,6.7189402132,7.1447165585,6.966095172,6.1774128465
AK135830,6.3397983221,6.1967768857,6.2924989556,6.1947311927,6.0875877051,6.0713993533,6.2032789683,6.2097567103
Mok,6.1331979233,6.2431794463,6.2453384123,6.0924848305,6.1842987351,6.0204260121,6.0387468012,6.2256677326
Cela2a,6.3264904326,6.3516404153,6.3801718052,6.2378971695,6.555765201,6.442283666,6.5413153173,6.4349216105
Zfp951,6.407961324,6.5455919729,6.4186924721,6.5319932581,6.5296333846,6.5436637384,6.512831487,6.4047898224
Rnf111,10.2972304072,10.263874269,9.9769971324,10.3157217729,10.1790777594,9.9488767071,10.1461229562,10.598840734
Fbl,15.8466691983,15.6924261101,16.6015874731,15.8155836444,15.6461970813,16.7458357458,16.4303349031,15.9883439715
Prph,7.2515299635,6.7831545512,6.7048235385,7.7813174887,7.4895163132,7.0145213169,7.1248737053,6.819755084
AK042437,6.1146864648,6.2336000155,6.0756033532,6.0884854302,6.2438954248,6.2903061425,6.0480168793,6.1805859614
NAP112112-1,15.4982288658,15.2298744822,15.3165766873,15.0476021641,15.0486638687,15.2609241423,15.0424211293,15.0751211623
4930539H15Rik,7.1414435099,6.986270868,6.9635221802,7.2528062393,7.4645977259,7.31359723,7.0408752417,6.8838942946
BI158793,6.2723345048,6.1934505856,6.195864042,6.1306266968,5.9933118386,5.9714491004,6.1379352682,6.0478960241
Oas1a,8.6788938321,8.1824510027,9.3109611657,8.2590514587,11.5703804467,12.0883042569,10.1530381675,7.6890377209
Il18r1,6.6458176988,6.5444277337,7.1947134325,7.0215217776,6.9745779499,7.8739285858,8.6979156198,9.0235513154
Gm13498,6.2657498291,6.1665131353,6.3300524912,6.8057596427,6.219643003,6.5023478263,6.1776055629,6.1326263739
Slc6a8,7.338239925,6.8784431,7.246004118,7.6417896738,7.791837084,7.2076874207,7.8735961504,6.8719672064
Gm26629,6.0861714347,6.154276641,6.1805497774,6.0206868757,6.8083425306,6.2000554604,6.1703751193,6.1348942827
Gm3032,6.5770043872,6.5395693193,7.2682123764,6.7355312031,6.5124970554,6.6345059987,6.5923689737,6.9001583559
Zfc3h1,11.8109182828,12.3334935392,11.3992848009,12.1220853836,12.0254360374,11.4700673779,11.5703804467,11.4766573605
Itga4,5.9830590442,6.3250107053,6.2210761088,6.0873475114,6.1908180344,6.0215457584,6.1964434249,6.3465367223
AK085361,6.2935985079,6.2246144475,6.1749528086,6.4112413965,6.2414970026,6.2216052979,6.0801492141,6.1304923272
Slc9a1,13.0915821628,13.2932455604,13.372132896,13.1766364047,13.0087881691,13.0915821628,13.3702771321,13.4341264261
Gm37915,6.0842118797,6.1282895056,6.0149187342,6.0120676915,6.1752973502,5.9835207984,6.0943491889,6.0725488142
AK172642,9.011799331,9.2936623841,8.9576083994,8.9919318011,8.8977865644,8.7461131522,8.9029654237,8.9979243473
Gm16208,6.9725427753,6.8766515513,7.055889742,6.9366526405,7.0663614539,6.8498188812,6.9082458807,6.7949315479
B430119L08Rik,6.3494738085,6.4367910258,6.2416799528,6.4056507875,6.4063473806,6.3407049525,6.368804433,6.2837740086
Foxb2,6.1103907676,6.0914846551,6.1838535608,6.1963652038,6.1751453746,6.0124455526,5.9948550528,6.1928859102
Csprs,7.4217749777,7.7666078844,7.5808874837,9.1536828668,9.066173354,8.2563091768,7.43855878,8.3534709024
NAP094721-001,10.7886048249,11.0369016284,10.0755049647,10.8125569467,10.2948054205,9.9408366186,10.8304807588,10.8909516851
Fcgr2b,6.1877609478,6.1326263739,6.2457854752,6.3447333933,6.1963652038,6.2989265702,6.1805072959,6.2241039415
F930015N05Rik,6.5280970253,6.45888708,6.420887853,6.4263583102,6.5193175405,6.5934198358,6.4493716648,6.3307165357
Mta3,11.1869848755,10.8811294954,11.0931404636,10.9629890007,10.4672837433,10.9714998736,11.2499238329,10.960637056
Lamp2,10.8811294954,10.5639096288,10.7993363295,11.0808670425,11.5004112257,11.2259209597,10.8709077588,11.0829404399
Tlx2,6.2451661597,6.311956021,6.2967518248,6.2142984312,6.2838721345,6.649803549,6.4733865197,6.4061104923
Dsg4,6.0883357737,5.9820811204,5.9611448479,6.0124244354,6.0921296932,6.0293813202,6.11908972,6.0999668825
Ttc14,10.7972735984,10.4839046471,10.1807813408,10.5776219529,10.1591061013,9.9504448152,10.7346355132,10.6615649697
AI195381,6.4701152269,6.4924045363,6.1642948479,6.251148615,6.2716548764,6.2931713704,6.3484935876,6.3971701084
Gm31482,9.0640377674,9.9602611295,8.9368430819,8.6862223917,8.7886373506,8.6172315566,8.4890308233,8.4172864918
A330044H09,8.3615428859,8.2744114317,8.2550766587,8.3059790132,8.4583339279,8.2127769027,8.4921454957,8.9422445759
Il13ra1,7.2263532625,7.97648047,6.4696463028,6.7959612474,6.3504144055,6.2969655611,6.9264075513,6.500229506
Mup20,6.2528279808,6.0423011791,6.1145003492,6.0580574881,6.1271654056,6.2628956906,6.0663757844,6.1226212479
TC1725173,7.5746696564,7.4711211213,7.4692091594,7.6487548126,7.3878440919,7.3881123446,7.5949272583,7.5618699204
Gcn1l1,10.8921789193,10.3918175734,11.2290535086,10.5267293929,10.5272264435,10.9190108314,11.1085979265,10.851519953
Ercc2,11.8511888881,12.1551422263,12.2304119417,11.7605919343,11.7450909306,12.1408018264,11.7277973284,11.9112064879
Plcg1,10.9024170715,10.1981030509,9.4697103628,9.7949827404,9.4265594797,9.4726599717,10.3018171242,10.0633307782
AK049961,7.9314508487,8.13437644,7.9779104866,8.6436885202,8.1139737846,8.0363766726,8.1274143638,7.9359872021
AK040544,6.1106952644,6.1198136685,6.0297807844,6.0738104083,6.007207766,5.905817637,6.075255268,5.9804281017
Dsc3,6.0337025131,6.0512380097,6.2030138718,6.3027114821,6.1006204263,6.1190090887,6.0475725018,6.2012122009
Eif2b2,14.585379879,14.8110142612,14.9557653344,14.4924115016,14.4064528946,14.8467849706,14.5981796717,14.908153851
Champ1,11.3115196804,11.5204454162,11.7635549007,11.2446492432,11.1447222239,11.6234345936,11.2794174059,11.2117269856
Qtrtd1,8.4363922325,8.443399916,8.9939440115,8.8476601024,8.1526350686,9.030205107,8.5197773814,8.1335907179
Gm31863,6.1197802662,6.3734549576,6.4634719743,6.3384594037,6.8162535874,6.500523596,6.136267112,6.3833683155
Olfr1510,6.0495312346,6.2016793657,6.2499561065,5.9345898791,5.9500441182,6.0645486531,6.0350341877,6.2921811216
Pcdhb9,6.1276259295,6.2801698208,6.3413472194,6.0967680662,6.1066142304,6.1386741019,6.2949485156,6.1282744153
4930550C17Rik,7.1745715557,7.1423884064,7.3966891573,7.0407051688,7.0439356303,7.4624497457,7.0165563676,7.0586709196
Mrgbp,9.5011530962,9.874667658,10.0251698831,9.6198788124,9.6154770467,9.9271542447,9.4426307315,9.7938213923
Klf14,6.1862374223,6.0950495619,5.9825605409,6.2325124304,6.17244149,6.1334644933,6.0894826327,6.0736389058
Gm31531,6.1558561265,6.0586339503,6.2280037341,6.2674303258,6.3468456224,7.0515640438,6.0611955559,6.1505797489
Gjb3,6.1820627878,5.9263003934,6.0858347939,6.0058198291,6.0194442376,6.1887002879,6.2576138143,6.0062607487
Ccr6,10.1666473051,8.3167322953,7.6950558591,11.626804418,9.6634031464,7.8595104961,14.5755062241,11.0351374813
Olfr1047,5.9787861853,6.0042423453,6.105870915,6.0630945476,6.1507412975,6.2720043396,5.9986463935,5.9522219534
Sycp1-ps1,6.1620999979,6.148483769,6.1038701098,6.0330559286,5.8985388376,6.0650230813,6.0025337215,6.1320297203
Cyp2a5,6.3245184242,6.2307928438,6.3408937494,6.3978797706,6.4011362769,6.6098861856,6.6258699394,6.5756127622
