ln.TP,SDI,ln.Chla,ln.SecDep,ln.zmix,ln.Stab,ln.Cond
2.63905733,1.4,1.193922468,1.740466175,4.700480366,2.452968686,7.029530336
2.890371758,0.9,2.332143895,1.360976553,3.091042453,6.151017821,7.018133186
3.713572067,1.4,0.641853886,1.458615023,1.386294361,8.463429733,7.062105939
2.197224577,1.9,1.547562509,1.62924054,2.944438979,8.013459461,7.082632529
3.36729583,1.1,1.280933845,1.791759469,4.700480366,0.326854708,7.032535996
3.761200116,1.6,1.131402111,1.029619417,1.791759469,6.916069123,7.035708643
3.583518938,1.2,1.458615023,1.648658626,3.17805383,7.61977436,7.082380629
3.465735903,1.3,2.397895273,0.993251773,2.302585093,3.664540654,5.10533923
3.610917913,0.8,3.61361697,0.641853886,2.079441542,4.822906344,5.279134547
3.828641396,0.8,4.115779843,0.336472237,3.135494216,1.000190606,5.185148668
3.36729583,1.1,3.555348061,0.641853886,3.135494216,0.219777894,4.9698133
3.401197382,0.9,2.388762789,0.78845736,3.091042453,1.721390652,5.079539273
3.583518938,1.8,2.708050201,0.641853886,1.945910149,4.474141944,5.23324537
3.828641396,0.6,3.424262655,0.832909123,3.135494216,2.103438791,5.217107311
3.465735903,1.8,2.433613355,1.435084525,3.091042453,0.217044993,4.988389685
3.912023005,1.4,3.303216973,0.741937345,3.135494216,-0.227402608,5.152713393
3.912023005,0.9,3.303216973,0.741937345,3.135494216,-0.227402608,5.152713393
3.258096538,1.2,2.975529566,1.064710737,3.135494216,1.23912757,4.941642423
3.433987204,1.4,2.653241965,1.223775432,3.135494216,0.401457087,5.061328408
2.079441542,1.1,0.262364264,0.875468737,2.079441542,8.715164828,6.03068526
2.48490665,1.1,0.470003629,2.32238772,3.091042453,8.175000021,6.02175124
2.197224577,1.6,0.641853886,2.151762203,4.442651256,1.645499796,5.963579344
2.197224577,1.3,0,2.424802726,2.708050201,6.748168048,5.96100534
2.397895273,1,0,2.116255515,2.197224577,8.495654878,6.004380772
1.791759469,1.1,0.182321557,2.028148247,2.944438979,8.436746749,6.008813185
2.197224577,1.6,0.693147181,2.397895273,4.442651256,4.639606395,5.957390567
2.197224577,0.4,0.875468737,2.251291799,2.833213344,8.651636563,6.009550015
2.564949357,1.8,0.262364264,1.931521412,3.135494216,8.239913071,6.000424288
1.945910149,0.5,0.875468737,1.481604541,1.791759469,6.632001777,2.63188884
1.386294361,1.1,0.09531018,2.163323026,2.708050201,5.459585514,2.63188884
2.772588722,1.2,-0.105360516,2.163323026,2.708050201,5.459585514,2.63188884
2.197224577,0.7,0.875468737,2.219203484,3.218875825,1.098612289,2.424802726
1.386294361,1,0.336472237,2.116255515,1.945910149,4.934473933,2.459588842
1.609437912,0.3,0.262364264,1.704748092,1.386294361,6.504288174,2.533696814
0.693147181,0.6,0.78845736,1.667706821,2.564949357,6.011267174,2.610069793
1.609437912,1.5,0.182321557,1.916922612,0.693147181,5.123963979,2.451005098
2.197224577,0.6,0.587786665,1.791759469,2.302585093,6.456769656,2.549445171
0.693147181,0.5,1.223775432,1.916922612,3.218875825,0,2.415913778
1.609437912,0.6,0.530628251,2.066862759,2.48490665,5.043425117,2.442347035
